# IRT File
9439   # Number of Samples
-104.85   # Minimum IRT in File
-92.76   # Maximum IRT in File
1   # Time Reference (1=UTC, 0=Local)
1   # Number of IRRs
10.50   # Wavelengths [um]
# Ye , Mo , Da , Ho , Mi , Se , Rain Flag , IRT1 , IRT2 , Elev. Ang [°], Azi. Ang [°]
17 , 08 , 13 , 00 , 00 , 24 , 0 , -101.01 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 29 , 0 , -98.84 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 34 , 0 , -100.52 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 39 , 0 , -100.96 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 44 , 0 , -101.18 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 49 , 0 , -99.29 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 54 , 0 , -98.01 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 00 , 59 , 0 , -100.54 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 04 , 0 , -99.11 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 09 , 0 , -98.71 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 14 , 0 , -98.06 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 19 , 0 , -101.52 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 45 , 0 , -99.00 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 50 , 0 , -98.19 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 01 , 55 , 0 , -98.23 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 00 , 0 , -99.83 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 05 , 0 , -97.96 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 10 , 0 , -97.79 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 15 , 0 , -98.97 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 20 , 0 , -102.13 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 25 , 0 , -98.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 30 , 0 , -97.98 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 35 , 0 , -98.70 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 02 , 40 , 0 , -98.42 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 06 , 0 , -98.14 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 11 , 0 , -104.25 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 16 , 0 , -97.30 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 21 , 0 , -98.13 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 26 , 0 , -98.81 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 31 , 0 , -98.23 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 36 , 0 , -100.12 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 41 , 0 , -97.93 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 46 , 0 , -99.41 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 51 , 0 , -99.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 03 , 56 , 0 , -101.09 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 01 , 0 , -98.47 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 26 , 0 , -104.42 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 32 , 0 , -98.51 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 37 , 0 , -98.39 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 42 , 0 , -101.83 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 47 , 0 , -99.21 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 52 , 0 , -99.53 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 04 , 57 , 0 , -98.75 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 02 , 0 , -100.79 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 07 , 0 , -101.70 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 12 , 0 , -100.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 17 , 0 , -98.70 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 22 , 0 , -98.34 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 48 , 0 , -100.63 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 53 , 0 , -98.12 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 05 , 58 , 0 , -99.62 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 03 , 0 , -102.82 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 08 , 0 , -100.17 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 13 , 0 , -99.01 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 18 , 0 , -101.04 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 23 , 0 , -100.09 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 28 , 0 , -100.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 33 , 0 , -99.18 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 38 , 0 , -99.93 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 06 , 43 , 0 , -98.64 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 09 , 0 , -98.91 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 14 , 0 , -97.87 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 19 , 0 , -98.85 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 24 , 0 , -98.83 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 29 , 0 , -99.52 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 34 , 0 , -99.88 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 39 , 0 , -98.07 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 44 , 0 , -98.33 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 49 , 0 , -98.25 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 54 , 0 , -98.49 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 07 , 59 , 0 , -100.72 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 04 , 0 , -98.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 29 , 0 , -102.44 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 34 , 0 , -100.25 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 39 , 0 , -97.74 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 44 , 0 , -98.43 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 49 , 0 , -98.78 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 08 , 55 , 0 , -100.41 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 01 , 0 , -98.69 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 06 , 0 , -99.58 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 11 , 0 , -97.88 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 15 , 0 , -98.34 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 20 , 0 , -100.38 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 25 , 0 , -98.77 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 51 , 0 , -100.98 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 09 , 56 , 0 , -98.32 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 01 , 0 , -98.82 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 06 , 0 , -98.06 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 11 , 0 , -101.91 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 16 , 0 , -99.22 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 21 , 0 , -99.70 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 26 , 0 , -98.32 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 31 , 0 , -97.60 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 36 , 0 , -99.20 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 41 , 0 , -99.19 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 10 , 46 , 0 , -100.28 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 11 , 12 , 0 , -98.54 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 11 , 17 , 0 , -104.85 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 11 , 22 , 0 , -97.84 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 11 , 27 , 0 , -98.97 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 15 , 24 , 0 , -99.91 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 15 , 29 , 0 , -98.49 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 15 , 35 , 0 , -100.48 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 15 , 39 , 0 , -103.14 ,  89.80 , 180.00 
17 , 08 , 13 , 00 , 15 , 44 , 0 , -99.85 ,  89.80 , 180.00 
